isolate,oil,reps,mean,Std_dev,Median,Min,Max,mode,geo_mean,farm,ST,CC,cODtreated,Biofilmcattreated,Biofilmtreated,cODuntreated,Biofilmcatuntreated,Biofilmuntreated,WGS,biofilmtxstudy,DDzoneDia,PPGMIC,Ddcat,MICcat,logGeoMean
02-03,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,2,8,8,1.3953,4,1,0.0302,1,0,no,yes,16,1,R,R,-5.0734
10-16,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,10,8,8,0.2487,3,1,0.0322,1,0,no,no,18,0.25,R,R,-5.3219
10-17,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,10,8,8,0.1556,2,1,0.0318,1,0,no,no,19,0.25,R,R,-5.3219
10-19,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,10,8,8,0.0343,1,0,0.0167,1,0,no,yes,17,0.5,R,R,-5.3219
31-08,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,31,8,8,1.158,4,1,0.0647,1,0,no,yes,16,1,R,R,-5.3219
21-05,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,21,97,97,0.0701,1,0,0.0583,1,0,no,no,13,16,R,R,-5.3219
21-07,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,21,97,97,0.0154,1,0,0.0318,1,0,no,no,12,4,R,R,-5.3219
03-02,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,3,352,97,0.0104,1,0,0.1559,2,1,no,no,37,0.125,S,S,-5.0734
03-05,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,3,352,97,0.1126,2,1,0.3538,3,1,no,no,40,0.125,S,S,-5.0734
04-02,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,4,352,97,0.121,2,1,0.2893,3,1,no,no,36,0.125,S,S,-5.0734
06-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,6,352,97,0.0756,1,0,0.1596,2,1,no,no,44,0.125,S,S,-5.3219
08-10,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,8,352,97,0.0184,1,0,0.0644,1,0,no,no,37,0.125,S,S,-5.3219
09-06,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,9,352,97,0.0363,1,0,0.1253,2,1,no,no,40,0.125,S,S,-5.8201
21-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,21,352,97,0.651,4,1,0.2652,3,1,no,yes,37,0.125,S,S,-5.3219
23-04,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,23,352,97,0.2641,3,1,0.4761,4,1,no,yes,40,0.125,S,S,-5.3219
24-17,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,24,352,97,0.4891,4,1,0.4583,4,1,no,yes,34,0.125,S,S,-5.3219
26-02,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,26,352,97,0.2798,3,1,0.2554,3,1,no,no,36,0.125,s,S,-5.8201
30-01,cinnamon,4,0.025,0.01768,0.01875,0.0125,0.05,0.0125,0.0210,30,352,97,0.0368,1,0,0.0804,1,0,no,no,40,0.125,S,S,-5.5735
46-01,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,46,352,97,0.0386,1,0,0.0493,1,0,no,yes,40,0.125,S,S,-5.8201
01-06,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,1,2187,97,0.0538,1,0,1.8263,4,1,yes,yes,40,0.125,S,S,-5.0734
09-04,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,9,2187,97,0.0156,1,0,0.123,2,1,no,no,40,0.125,S,S,-5.3219
10-02,cinnamon,4,0.02188,0.00625,0.025,0.0125,0.025,0.025,0.0210,10,2187,97,0.0668,1,0,0.2091,3,1,no,no,40,0.125,S,S,-5.5735
15-05,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,15,2187,97,0.0124,1,0,0.0312,1,0,yes,yes,37,0.125,S,S,-5.8201
18-01,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,18,2187,97,0.1067,2,0,0.146,2,1,no,no,39,0.125,S,S,-5.3219
19-05,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,19,2187,97,0.1149,2,1,0.0673,1,0,no,yes,50,0.125,s,s,-5.8201
41-03,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,41,2187,97,0.0878,1,0,1.5723,4,1,yes,yes,48,0.125,S,S,-5.3219
17-03,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,17,3020,97,0.1101,2,0,0.0656,1,0,no,no,40,0.125,S,S,-5.8201
03-01,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,3,3021,97,0.0347,1,0,0.0539,1,0,no,no,39,0.125,S,S,-5.0734
03-09,cinnamon,4,0.03125,0.0125,0.025,0.025,0.05,0.025,0.0297,3,3021,97,0.1551,2,1,0.1874,2,1,no,no,38,0.125,S,S,-5.0734
08-01,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,8,3021,97,0.0181,1,0,0.0203,1,0,no,no,40,0.125,S,S,-5.3219
13-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,13,3028,97,0.0187,1,0,0.118,2,1,yes,yes,38,0.125,S,S,-5.3219
14-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,14,3028,97,0.03,1,0,0.0668,1,0,yes,no,40,0.125,S,S,-5.3219
25-08,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,25,3028,97,0.047,1,0,0.0529,1,0,no,no,43,0.125,S,S,-5.3219
28-03,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,28,3028,97,0.0673,1,0,0.2352,3,1,no,yes,34,0.125,S,S,-5.8201
38-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,38,3028,97,0.0744,1,0,0.1426,2,1,no,yes,38,0.125,S,S,-5.3219
40-02,cinnamon,4,0.025,0,0.025,0.025,0.025,0.025,0.0250,40,3028,97,0.0366,1,0,0.0519,1,0,no,no,39,0.125,s,S,-5.3219
07-02,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,7,151,151,0.1001,2,0,0.063,1,0,no,no,40,0.125,S,S,-5.8201
10-09,cinnamon,4,0.02188,0.00625,0.025,0.0125,0.025,0.025,0.0210,10,151,151,0.036,1,0,0.068,1,0,no,no,46,0.125,S,S,-5.5735
17-30,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,17,151,151,0.02,1,0,0.0521,1,0,no,no,46,0.125,S,S,-5.8201
34-02,cinnamon,4,0.01875,0.00722,0.01875,0.0125,0.025,0.025,0.0177,34,151,151,0.0267,1,0,0.142,2,1,no,no,44,0.125,S,s,-5.8201
19-06,cinnamon,4,0.02188,0.00625,0.025,0.0125,0.025,0.025,0.0210,19,705,151,0.011,1,0,0.0274,1,0,no,no,48,0.125,S,S,-5.5735
02-03,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,2,8,8,1.3953,4,1,0.0302,1,0,no,yes,16,1,R,R,-0.1667
10-16,teaTree,6,0.83333,0.2582,1,0.5,1,1,0.7937,10,8,8,0.2487,3,1,0.0322,1,0,no,no,18,0.25,R,R,-0.3333
10-17,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,10,8,8,0.1556,2,1,0.0318,1,0,no,no,19,0.25,R,R,-0.1667
10-19,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,10,8,8,0.0343,1,0,0.0167,1,0,no,yes,17,0.5,R,R,-0.1667
31-08,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,31,8,8,1.158,4,1,0.0647,1,0,no,yes,16,1,R,R,-0.1667
21-05,teaTree,6,1,0.54772,1,0.5,2,1,0.8909,21,97,97,0.0701,1,0,0.0583,1,0,no,no,13,16,R,R,-0.1667
21-07,teaTree,6,1,0.54772,1,0.5,2,1,0.8909,21,97,97,0.0154,1,0,0.0318,1,0,no,no,12,4,R,R,-0.1667
03-02,teaTree,6,0.75,0.27386,0.75,0.5,1,1,0.7071,3,352,97,0.0104,1,0,0.1559,2,1,no,no,37,0.125,S,S,-0.5
03-05,teaTree,5,0.9,0.22361,1,0.5,1,1,0.8706,3,352,97,0.1126,2,1,0.3538,3,1,no,no,40,0.125,S,S,-0.1999
04-02,teaTree,5,0.7,0.27386,0.5,0.5,1,0.5,0.6598,4,352,97,0.121,2,1,0.2893,3,1,no,no,36,0.125,S,S,-0.5999
06-02,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,6,352,97,0.0756,1,0,0.1596,2,1,no,no,44,0.125,S,S,-0.1667
08-10,teaTree,6,1.25,0.61237,1,0.5,2,1,1.1225,8,352,97,0.0184,1,0,0.0644,1,0,no,no,37,0.125,S,S,0.1667
09-06,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,9,352,97,0.0363,1,0,0.1253,2,1,no,no,40,0.125,S,S,-0.1667
21-02,teaTree,5,1,0,1,1,1,1,1.0000,21,352,97,0.651,4,1,0.2652,3,1,no,yes,37,0.125,S,S,0
23-04,teaTree,5,0.8,0.27386,1,0.5,1,1,0.7579,23,352,97,0.2641,3,1,0.4761,4,1,no,yes,40,0.125,S,S,-0.3999
24-17,teaTree,6,0.83333,0.2582,1,0.5,1,1,0.7937,24,352,97,0.4891,4,1,0.4583,4,1,no,yes,34,0.125,S,S,-0.3333
26-02,teaTree,5,0.8,0.27386,1,0.5,1,1,0.7579,26,352,97,0.2798,3,1,0.2554,3,1,no,no,36,0.125,s,S,-0.3999
30-01,teaTree,6,0.75,0.27386,0.75,0.5,1,1,0.7071,30,352,97,0.0368,1,0,0.0804,1,0,no,no,40,0.125,S,S,-0.5
46-01,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,46,352,97,0.0386,1,0,0.0493,1,0,no,yes,40,0.125,S,S,-0.1667
01-06,teaTree,5,0.9,0.22361,1,0.5,1,1,1.0000,1,2187,97,0.0538,1,0,1.8263,4,1,yes,yes,40,0.125,S,S,0
09-04,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,9,2187,97,0.0156,1,0,0.123,2,1,no,no,40,0.125,S,S,-0.1667
10-02,teaTree,6,0.83333,0.2582,1,0.5,1,1,0.7937,10,2187,97,0.0668,1,0,0.2091,3,1,no,no,40,0.125,S,S,-0.3333
15-05,teaTree,5,0.45,0.1118,0.5,0.25,0.5,0.5,0.4353,15,2187,97,0.0124,1,0,0.0312,1,0,yes,yes,37,0.125,S,S,-1.1999
18-01,teaTree,5,0.9,0.22361,1,0.5,1,1,0.8706,18,2187,97,0.1067,2,0,0.146,2,1,no,no,39,0.125,S,S,-0.1999
19-05,teaTree,5,0.6,0.22361,0.5,0.5,1,0.5,0.5743,19,2187,97,0.1149,2,1,0.0673,1,0,no,yes,50,0.125,s,s,-0.8001
41-03,teaTree,6,0.75,0.27386,0.75,0.5,1,1,0.7071,41,2187,97,0.0878,1,0,1.5723,4,1,yes,yes,48,0.125,S,S,-0.5
17-03,teaTree,5,0.8,0.27386,1,0.5,1,1,0.7579,17,3020,97,0.1101,2,0,0.0656,1,0,no,no,40,0.125,S,S,-0.3999
03-01,teaTree,5,0.9,0.22361,1,0.5,1,1,0.8706,3,3021,97,0.0347,1,0,0.0539,1,0,no,no,39,0.125,S,S,-0.1999
03-09,teaTree,5,0.6,0.22361,0.5,0.5,1,0.5,0.5743,3,3021,97,0.1551,2,1,0.1874,2,1,no,no,38,0.125,S,S,-0.8001
08-01,teaTree,5,1,0,1,1,1,1,1.0000,8,3021,97,0.0181,1,0,0.0203,1,0,no,no,40,0.125,S,S,0
13-02,teaTree,5,0.9,0.22361,1,0.5,1,1,0.8706,13,3028,97,0.0187,1,0,0.118,2,1,yes,yes,38,0.125,S,S,-0.1999
14-02,teaTree,5,0.9,0.22361,1,0.5,1,1,0.8706,14,3028,97,0.03,1,0,0.0668,1,0,yes,no,40,0.125,S,S,-0.1999
25-08,teaTree,5,0.8,0.27386,1,0.5,1,1,0.7579,25,3028,97,0.047,1,0,0.0529,1,0,no,no,43,0.125,S,S,-0.3999
28-03,teaTree,5,0.55,0.27386,0.5,0.25,1,0.5,0.5000,28,3028,97,0.0673,1,0,0.2352,3,1,no,yes,34,0.125,S,S,-1
38-02,teaTree,6,0.83333,0.2582,1,0.5,1,1,0.7937,38,3028,97,0.0744,1,0,0.1426,2,1,no,yes,38,0.125,S,S,-0.3333
40-02,teaTree,6,0.91667,0.20412,1,0.5,1,1,0.8909,40,3028,97,0.0366,1,0,0.0519,1,0,no,no,39,0.125,s,S,-0.1667
07-02,teaTree,6,0.75,0.27386,0.75,0.5,1,1,0.7071,7,151,151,0.1001,2,0,0.063,1,0,no,no,40,0.125,S,S,-0.5
10-09,teaTree,5,1,0,1,1,1,1,1.0000,10,151,151,0.036,1,0,0.068,1,0,no,no,46,0.125,S,S,0
17-30,teaTree,5,0.7,0.27386,0.5,0.5,1,0.5,0.6598,17,151,151,0.02,1,0,0.0521,1,0,no,no,46,0.125,S,S,-0.5999
34-02,teaTree,5,0.8,0.27386,1,0.5,1,1,0.7579,34,151,151,0.0267,1,0,0.142,2,1,no,no,44,0.125,S,s,-0.3999
19-06,teaTree,6,1,0.54772,1,0.5,2,1,0.7579,19,705,151,0.011,1,0,0.0274,1,0,no,no,48,0.125,S,S,-0.3999
02-03,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,2,8,8,1.3953,4,1,0.0302,1,0,no,yes,16,1,R,R,-2
10-16,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,10,8,8,0.2487,3,1,0.0322,1,0,no,no,18,0.25,R,R,-2
10-17,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,10,8,8,0.1556,2,1,0.0318,1,0,no,no,19,0.25,R,R,-2
10-19,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,10,8,8,0.0343,1,0,0.0167,1,0,no,yes,17,0.5,R,R,-2
31-08,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,31,8,8,1.158,4,1,0.0647,1,0,no,yes,16,1,R,R,-2
21-05,thyme,1,0.5,,0.5,0.5,0.5,0.5,0.5000,21,97,97,0.0701,1,0,0.0583,1,0,no,no,13,16,R,R,-1
21-07,thyme,1,0.5,,0.5,0.5,0.5,0.5,0.5000,21,97,97,0.0154,1,0,0.0318,1,0,no,no,12,4,R,R,-1
03-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,3,352,97,0.0104,1,0,0.1559,2,1,no,no,37,0.125,S,S,-2
03-05,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,3,352,97,0.1126,2,1,0.3538,3,1,no,no,40,0.125,S,S,-2
04-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,4,352,97,0.121,2,1,0.2893,3,1,no,no,36,0.125,S,S,-2
06-02,thyme,2,0.375,0.17678,0.375,0.25,0.5,0.5,0.3536,6,352,97,0.0756,1,0,0.1596,2,1,no,no,44,0.125,S,S,-1.4998
08-10,thyme,2,0.375,0.17678,0.375,0.25,0.5,0.5,0.3536,8,352,97,0.0184,1,0,0.0644,1,0,no,no,37,0.125,S,S,-1.4998
09-06,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,9,352,97,0.0363,1,0,0.1253,2,1,no,no,40,0.125,S,S,-2
21-02,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,21,352,97,0.651,4,1,0.2652,3,1,no,yes,37,0.125,S,S,-2
23-04,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,23,352,97,0.2641,3,1,0.4761,4,1,no,yes,40,0.125,S,S,-2
24-17,thyme,1,0.5,,0.5,0.5,0.5,0.5,0.5000,24,352,97,0.4891,4,1,0.4583,4,1,no,yes,34,0.125,S,S,-1
26-02,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,26,352,97,0.2798,3,1,0.2554,3,1,no,no,36,0.125,s,S,-2
30-01,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,30,352,97,0.0368,1,0,0.0804,1,0,no,no,40,0.125,S,S,-2
46-01,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,46,352,97,0.0386,1,0,0.0493,1,0,no,yes,40,0.125,S,S,-2
01-06,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,1,2187,97,0.0538,1,0,1.8263,4,1,yes,yes,40,0.125,S,S,-2
09-04,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,9,2187,97,0.0156,1,0,0.123,2,1,no,no,40,0.125,S,S,-2
10-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,10,2187,97,0.0668,1,0,0.2091,3,1,no,no,40,0.125,S,S,-2
15-05,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,15,2187,97,0.0124,1,0,0.0312,1,0,yes,yes,37,0.125,S,S,-2
18-01,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,18,2187,97,0.1067,2,0,0.146,2,1,no,no,39,0.125,S,S,-2
19-05,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,19,2187,97,0.1149,2,1,0.0673,1,0,no,yes,50,0.125,s,s,-2
41-03,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,41,2187,97,0.0878,1,0,1.5723,4,1,yes,yes,48,0.125,S,S,-2
17-03,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,17,3020,97,0.1101,2,0,0.0656,1,0,no,no,40,0.125,S,S,-2
03-01,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,3,3021,97,0.0347,1,0,0.0539,1,0,no,no,39,0.125,S,S,-2
03-09,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,3,3021,97,0.1551,2,1,0.1874,2,1,no,no,38,0.125,S,S,-2
08-01,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,8,3021,97,0.0181,1,0,0.0203,1,0,no,no,40,0.125,S,S,-2
13-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,13,3028,97,0.0187,1,0,0.118,2,1,yes,yes,38,0.125,S,S,-2
14-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,14,3028,97,0.03,1,0,0.0668,1,0,yes,no,40,0.125,S,S,-2
25-08,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,25,3028,97,0.047,1,0,0.0529,1,0,no,no,43,0.125,S,S,-2
28-03,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,28,3028,97,0.0673,1,0,0.2352,3,1,no,yes,34,0.125,S,S,-2
38-02,thyme,1,0.5,,0.5,0.5,0.5,0.5,0.5000,38,3028,97,0.0744,1,0,0.1426,2,1,no,yes,38,0.125,S,S,-1
40-02,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,40,3028,97,0.0366,1,0,0.0519,1,0,no,no,39,0.125,s,S,-2
07-02,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,7,151,151,0.1001,2,0,0.063,1,0,no,no,40,0.125,S,S,-2
10-09,thyme,2,0.25,0,0.25,0.25,0.25,0.25,0.2500,10,151,151,0.036,1,0,0.068,1,0,no,no,46,0.125,S,S,-2
17-30,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,17,151,151,0.02,1,0,0.0521,1,0,no,no,46,0.125,S,S,-2
34-02,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,34,151,151,0.0267,1,0,0.142,2,1,no,no,44,0.125,S,s,-2
19-06,thyme,1,0.25,,0.25,0.25,0.25,0.25,0.2500,19,705,151,0.011,1,0,0.0274,1,0,no,no,48,0.125,S,S,-2
